я,21872
не,18409
и,17901
в,13584
что,12112
он,7851
на,7571
быть,7075
то,7066
а,6872
с,6179
это,6121
весь,5892
как,5744
ты,5529
но,5398
так,3607
бы,3564
мой,3197
по,3072
она,2785
сказать,2650
у,2615
такой,2544
к,2535
они,2506
же,2447
мочь,2427
от,2405
вы,2394
этот,2327
если,2299
мы,2282
из,2272
свой,2236
за,2190
еще,2158
который,2119
только,2111
себя,2089
даже,2063
дело,2022
о,1941
знать,1936
человек,1894
понимать,1842
какой,1788
просто,1777
когда,1753
сэр,1752
говорить,1719
сам,1706
время,1693
чем,1681
ну,1653
для,1641
самый,1627
чтобы,1616
да,1613
очень,1593
один,1585
ни,1542
вот,1539
до,1422
джуффин,1371
ничто,1362
кто,1345
уже,1339
становиться,1333
или,1229
уж,1226
конечно,1144
думать,1138
тут,1118
нет,1100
можно,1098
хорошо,1095
теперь,1067
тот,1059
раз,1053
день,1010
сейчас,1008
дом,1002
хотеть,989
ли,982
магистр,967
жизнь,958
совершенно,952
другой,946
надо,910
пока,891
твой,886
больше,885
потом,878
наш,849
хороший,836
год,812
будет,801
без,798
там,797
иметь,785
потому,780
пора,777
спрашивать,771
вообще,770
нибудь,760
место,758
во,749
голова,747
случай,740
макс,737
рука,733
впрочем,732
мир,717
при,715
почти,714
сон,710
видеть,708
таки,700
несколько,697
тоже,695
приходиться,685
хоть,667
слово,660
оказываться,654
никто,652
оставаться,652
поэтому,651
где,651
хотя,649
шурф,639
первый,636
давать,633
со,627
решать,622
сторона,621
более,612
никогда,609
выходить,608
рассказывать,598
все,598
всегда,598
леди,595
именно,593
совсем,591
вполне,578
вид,570
почему,567
делать,564
после,560
начинать,555
действительно,550
всякий,547
наконец,541
сделать,541
призрак,533
будто,529
друг,528
шеф,518
тогда,517
город,515
орден,510
сей,507
куда,506
ваш,501
правда,500
под,499
сразу,493
следовать,491
приходить,491
собственный,490
подумать,481
вопрос,477
триша,464
никакой,463
зато,463
мало,462
большой,455
объяснять,446
глаз,443
великий,435
слишком,435
любой,432
король,425
новый,422
соглашаться,420
вдруг,419
темный,416
идти,414
вовсе,411
конец,405
ладно,404
скоро,403
некоторый,399
сидеть,397
вздыхать,397
коф,394
получаться,391
находить,387
магия,383
далеко,383
час,382
дюжина,382
однако,382
значит,381
франк,373
пожалуй,373
оно,372
