и,16282
не,10302
в,9910
на,8685
он,7272
что,6418
с,6205
а,5536
то,4480
но,4026
быть,3751
я,3517
как,3117
по,2946
она,2825
к,2771
это,2695
за,2623
весь,2595
ты,2563
они,2478
у,2432
из,2216
мы,2040
капитан,1963
станислав,1944
же,1880
так,1730
от,1729
еще,1661
только,1584
киборг,1567
дэн,1551
бы,1529
уже,1529
этот,1429
полина,1421
мочь,1307
вы,1273
если,1265
тед,1248
даже,1204
пилот,1173
такой,1171
да,1140
до,1103
один,1096
какой,1031
ну,990
или,961
тоже,948
себя,948
нет,939
когда,936
свой,925
рука,907
раз,903
тут,896
который,886
для,858
сказать,855
чтобы,833
корабль,823
под,822
кто,807
чем,790
там,789
роджер,783
вадим,750
теодор,744
тот,741
о,739
человек,722
просто,712
ни,693
девушка,676
сам,674
потом,673
два,663
вот,660
хорошо,645
знать,644
давать,627
другой,618
друг,612
голова,599
понимать,598
самый,576
без,574
становиться,574
место,573
можно,572
ничто,557
пока,556
оказываться,556
больше,551
приходиться,551
глаз,545
ли,544
оставаться,530
время,521
олег,518
дело,517
вообще,515
со,514
успевать,513
хотя,511
сакая,499
команда,489
винни,473
где,465
очень,465
три,462
надо,462
навигатор,460
первый,459
стоять,458
вениамин,457
сторона,444
нога,435
хотеть,432
вид,429
будет,421
дверь,416
рыжий,411
снова,410
парень,409
сейчас,407
замечать,406
теперь,399
через,398
нибудь,392
таки,390
сразу,388
точно,384
тогда,380
пойти,380
идти,379
почему,379
почти,379
все,379
ланс,374
после,373
наш,372
сделать,372
мой,371
база,365
более,364
при,364
куда,358
выходить,358
видеть,355
во,355
решать,353
последний,351
несколько,345
лицо,341
начинать,331
минута,330
быстро,330
равно,325
день,322
конец,321
палец,318
хозяин,316
пара,315
вернуться,309
пол,309
находить,307
спрашивать,307
голос,301
сидеть,301
над,299
делать,296
продолжать,296
хоть,293
флайер,292
наконец,290
говорить,289
стол,289
новый,288
будто,288
катер,288
взять,287
второй,285
лик,285
далеко,284
кошка,282
доктор,280
час,279
здесь,278
фрэнк,277
плечо,277
посмотреть,276
твой,276
год,276
бластер,273
пират,270
перед,269
уж,269
каюта,268
пытаться,264
вроде,264
случай,264
думать,262
пять,262
отвечать,257
чуть,256
взгляд,254
спецагент,251
удаваться,250
зато,250
слишком,248
словно,248
попытаться,247
предлагать,247
земля,247
ладно,243
иметь,243
вода,243
скоро,241
михалыч,240
сообщать,239
туда,238
возражать,234
действительно,233
черный,233
спина,232
ваш,232
мало,232
никто,229
собираться,229
между,229
похоже,228
планета,228
казак,227
подходить,226
большой,226
смотреть,224
напоминать,224
подымать,224
метр,223
система,222
лишь,222
каждый,221
ж,221
стена,221
поинтересоваться,220
конечно,216
часть,215
ящик,213
зачем,213
совсем,212
бросать,211
значит,211
хотеться,210
уточнять,209
лежать,209
гость,209
пора,207
работа,205
нужный,205
пусть,205
открывать,203
приказ,202
хороший,201
край,200
слово,199
работать,198
кресло,197
жизнь,195
всякий,195
поэтому,195
банка,194
уходить,192
остальной,192
лес,190
добавлять,190
полицейский,190
правда,190
порядок,189
близкий,189
черт,189
момент,188
приниматься,187
соглашаться,186
шлюз,186
проходить,186
пробормотать,185
лейтенант,184
вдруг,183
вместе,183
обнаруживать,183
ага,183
подумать,183
про,181
либо,181
федотович,180
приятель,180
помогать,179
смочь,178
станислава,178
проблема,177
маленький,176
должный,176
миг,176
потому,175
обратно,175
окно,175
прямо,174
показывать,173
напарник,173
э,172
именно,172
проверять,172
едва,172
программа,171
утро,171
однако,171
увидеть,170
сила,170
вопрос,169
забывать,168
назад,168
нос,168
кивнуть,167
космический,167
вспомнить,166
рано,165
уставляться,165
медленно,165
воздух,164
охранник,162
наверное,162
десять,162
сюда,161
рядом,161
ночь,160
глядеть,160
секунда,159
оба,159
вставать,159
угол,158
садиться,158
оставлять,157
дерево,157
хватить,156
полный,156
впрочем,156
судя,156
сей,155
принимать,155
бок,154
внезапно,154
маша,152
экипаж,152
находиться,152
спать,151
полагать,151
ухо,151
зуб,151
падло,150
кажется,150
простой,150
ждать,149
удивляться,149
вздыхать,148
получать,147
следующий,147
немного,147
станция,147
дом,147
любить,146
джилл,145
вытаскивать,145
ладонь,145
техника,145
боевой,143
подтвердить,143
иначе,143
смысл,142
мелкий,142
возле,141
двадцать,141
третий,141
крайний,141
транспортник,140
вирт,140
тело,140
бандит,140
давно,140
вызывать,140
слегка,140
оружие,139
коридор,139
информация,139
длинный,138
экран,138
протягивать,138
казаться,138
прежний,137
пульт,136
опять,136
выглядеть,136
